"Customers","Products","Periods","DemandPeriods"
108,3,2,7801
108,3,3,10822
108,3,4,15733
108,3,5,18540
108,3,6,25253
108,3,7,28063
108,3,8,31374
108,3,9,35271
108,3,10,39080
108,4,1,647
108,4,2,1723
108,4,3,2109
108,4,4,3443
108,4,5,4151
108,4,6,4680
108,4,7,5244
108,4,8,5979
108,4,9,7076
108,4,10,7691
109,1,1,941
109,1,2,1718
109,1,3,2366
109,1,4,3813
109,1,5,4575
109,1,6,5417
109,1,7,6249
109,1,8,6781
109,1,9,7596
109,1,10,8639
109,2,1,781
109,2,2,1937
109,2,3,3137
109,2,4,3960
109,2,5,4626
109,2,6,5225
109,2,7,6784
109,2,8,7197
109,2,9,7992
109,2,10,9153
109,3,1,3521
109,3,2,6147
109,3,3,10236
109,3,4,11006
109,3,5,14336
109,3,6,19918
109,3,7,22150
109,3,8,23971
109,3,9,28318
109,3,10,30851
109,4,1,966
109,4,2,1939
109,4,3,2601
109,4,4,3691
109,4,5,4259
109,4,6,5133
109,4,7,6470
109,4,8,7739
109,4,9,8457
109,4,10,9128
110,1,1,2230
110,1,2,3464
110,1,3,4985
110,1,4,6904
110,1,5,9884
110,1,6,12113
110,1,7,13795
110,1,8,14546
110,1,9,17543
110,1,10,19246
110,2,1,617
110,2,2,1129
110,2,3,1501
110,2,4,2455
110,2,5,2689
110,2,6,3274
110,2,7,3712
110,2,8,4708
110,2,9,5139
110,2,10,5612
110,3,1,21372
110,3,2,30734
110,3,3,59385
110,3,4,71742
110,3,5,90544
110,3,6,117135
110,3,7,133943
110,3,8,148436
110,3,9,169866
110,3,10,181971
110,4,1,668
110,4,2,1264
110,4,3,2010
110,4,4,2780
110,4,5,3331
110,4,6,4176
110,4,7,5189
110,4,8,5774
110,4,9,6375
110,4,10,6994
111,1,1,5982
111,1,2,10777
111,1,3,13955
111,1,4,19867
111,1,5,25957
111,1,6,33865
111,1,7,34975
111,1,8,45345
111,1,9,48391
111,1,10,53837
111,2,1,3351
111,2,2,8384
111,2,3,12045
111,2,4,16045
111,2,5,18081
111,2,6,19994
111,2,7,26264
111,2,8,27025
111,2,9,31170
111,2,10,35638
111,3,1,30789
111,3,2,61466
111,3,3,83275
111,3,4,105084
111,3,5,134500
111,3,6,150053
111,3,7,193947
111,3,8,204681
111,3,9,239590
111,3,10,261822
111,4,1,2734
111,4,2,5059
111,4,3,7918
111,4,4,11787
111,4,5,13740
111,4,6,18723
111,4,7,20892
111,4,8,24711
111,4,9,27187
111,4,10,29971
112,1,1,1132
112,1,2,3066
112,1,3,3814
112,1,4,5554
112,1,5,6256
112,1,6,7773
112,1,7,9766
112,1,8,10113
112,1,9,12013
112,1,10,13103
112,2,1,689
112,2,2,1096
112,2,3,2147
112,2,4,2440
112,2,5,3375
112,2,6,4089
112,2,7,4513
112,2,8,4884
112,2,9,5672
112,2,10,6362
112,3,1,4144
112,3,2,11785
112,3,3,13758
112,3,4,19551
112,3,5,27849
112,3,6,30256
112,3,7,37582
112,3,8,42199
112,3,9,47393
112,3,10,51704
112,4,1,464
112,4,2,875
112,4,3,1501
112,4,4,2309
112,4,5,2293
112,4,6,2850
112,4,7,3398
112,4,8,3951
112,4,9,4706
112,4,10,5066
113,1,1,2390
113,1,2,4478
113,1,3,6789
113,1,4,9710
113,1,5,11748
113,1,6,14012
113,1,7,16731
113,1,8,18202
113,1,9,20389
113,1,10,23404
113,2,1,819
113,2,2,1612
113,2,3,2382
113,2,4,2792
113,2,5,3220
113,2,6,4623
113,2,7,5058
113,2,8,5928
113,2,9,6497
113,2,10,7221
113,3,1,4560
113,3,2,10969
113,3,3,16480
113,3,4,21942
113,3,5,25809
113,3,6,29116
113,3,7,35455
113,3,8,44404
113,3,9,49514
113,3,10,53664
113,4,1,521
113,4,2,1065
113,4,3,1807
113,4,4,2184
113,4,5,2517
113,4,6,3280
113,4,7,3394
113,4,8,4039
113,4,9,4810
113,4,10,5249
114,1,1,2120
114,1,2,5707
114,1,3,7861
114,1,4,10070
114,1,5,11918
114,1,6,14128
114,1,7,17649
114,1,8,19459
114,1,9,22714
114,1,10,25297
114,2,1,1018
114,2,2,1548
114,2,3,3047
114,2,4,3750
114,2,5,5238
114,2,6,5659
114,2,7,6402
114,2,8,7462
114,2,9,8398
114,2,10,9364
114,3,1,8375
114,3,2,15047
114,3,3,27593
114,3,4,35947
114,3,5,43098
114,3,6,53899
114,3,7,56178
114,3,8,70063
114,3,9,78852
114,3,10,84323
114,4,1,646
114,4,2,1188
114,4,3,1791
114,4,4,2642
114,4,5,3568
114,4,6,3698
114,4,7,4268
114,4,8,4920
114,4,9,6003
114,4,10,6427
115,1,1,1021
115,1,2,2100
115,1,3,3434
115,1,4,3956
115,1,5,5710
115,1,6,7251
115,1,7,8109
115,1,8,9592
115,1,9,10044
115,1,10,11323
115,2,1,1199
115,2,2,2315
115,2,3,2883
115,2,4,4322
115,2,5,5709
115,2,6,6368
115,2,7,7349
115,2,8,8259
115,2,9,9324
115,2,10,10233
115,3,1,5638
115,3,2,10576
115,3,3,13301
115,3,4,19206
115,3,5,28354
115,3,6,32688
115,3,7,34031
115,3,8,42391
115,3,9,47055
115,3,10,52075
115,4,1,595
115,4,2,1157
115,4,3,2184
115,4,4,2954
115,4,5,3093
115,4,6,3611
115,4,7,4704
115,4,8,5225
115,4,9,6070
115,4,10,6507
116,1,1,596
116,1,2,1315
116,1,3,1744
116,1,4,2443
116,1,5,3015
116,1,6,3865
116,1,7,4004
116,1,8,4853
116,1,9,5575
116,1,10,6147
116,2,1,649
116,2,2,1012
116,2,3,1520
116,2,4,2205
116,2,5,2736
116,2,6,3565
116,2,7,3886
116,2,8,4600
116,2,9,5192
116,2,10,5714
116,3,1,1306
116,3,2,2905
116,3,3,4246
116,3,4,5226
116,3,5,7249
116,3,6,7117
116,3,7,9462
116,3,8,10721
116,3,9,11586
116,3,10,12947
116,4,1,302
116,4,2,562
116,4,3,1058
116,4,4,1516
116,4,5,1858
116,4,6,1984
116,4,7,2342
116,4,8,2729
116,4,9,3012
116,4,10,3399
117,1,1,2699
117,1,2,5714
117,1,3,8427
117,1,4,12946
117,1,5,15527
117,1,6,17897
117,1,7,22357
117,1,8,23852
117,1,9,27019
117,1,10,30742
117,2,1,1361
117,2,2,2784
117,2,3,3515
117,2,4,4691
117,2,5,6483
117,2,6,7203
117,2,7,8943
117,2,8,10292
117,2,9,12328
117,2,10,13228
117,3,1,28287
117,3,2,53749
117,3,3,70803
117,3,4,116334
117,3,5,137658
117,3,6,179696
117,3,7,181738
117,3,8,219061
117,3,9,251650
117,3,10,280454
117,4,1,2263
117,4,2,5194
117,4,3,7767
117,4,4,9762
117,4,5,11981
117,4,6,16563
117,4,7,18158
117,4,8,20531
117,4,9,22962
117,4,10,25591
118,1,1,691
118,1,2,1490
118,1,3,2188
118,1,4,2735
118,1,5,3574
118,1,6,4406
118,1,7,5075
118,1,8,5309
118,1,9,6322
118,1,10,6828
118,2,1,473
118,2,2,905
118,2,3,1612
118,2,4,2085
118,2,5,2539
118,2,6,3004
118,2,7,3205
118,2,8,3699
118,2,9,4294
118,2,10,4795
118,3,1,2222
118,3,2,5621
118,3,3,9031
118,3,4,10386
118,3,5,12072
118,3,6,16800
118,3,7,18499
118,3,8,23150
118,3,9,24363
118,3,10,27419
118,4,1,181
118,4,2,265
118,4,3,446
118,4,4,574
118,4,5,750
118,4,6,897
118,4,7,1030
118,4,8,1291
118,4,9,1412
118,4,10,1527
119,1,1,4410
119,1,2,7160
119,1,3,12500
119,1,4,15159
119,1,5,21336
119,1,6,24819
119,1,7,28209
119,1,8,31441
119,1,9,35496
119,1,10,38719
119,2,1,3277
119,2,2,5052
119,2,3,9016
119,2,4,13002
119,2,5,15259
119,2,6,19064
119,2,7,21789
119,2,8,22404
119,2,9,25838
119,2,10,29590
119,3,1,19685
119,3,2,40086
119,3,3,61948
119,3,4,93012
119,3,5,106840
119,3,6,125363
119,3,7,165540
119,3,8,169103
119,3,9,203757
119,3,10,222853
119,4,1,4765
119,4,2,8038
119,4,3,12937
119,4,4,17764
119,4,5,18213
119,4,6,24486
119,4,7,27974
119,4,8,32531
119,4,9,35705
119,4,10,41274
120,1,1,1440
120,1,2,2563
120,1,3,4108
120,1,4,6243
120,1,5,7961
120,1,6,9426
120,1,7,11174
120,1,8,11741
120,1,9,12994
120,1,10,14989
120,2,1,985
120,2,2,2285
120,2,3,3255
120,2,4,4562
120,2,5,5744
120,2,6,7083
120,2,7,8165
120,2,8,9403
120,2,9,9794
120,2,10,11327
120,3,1,9712
120,3,2,18571
120,3,3,21476
120,3,4,31184
120,3,5,45603
120,3,6,50725
120,3,7,60979
120,3,8,67129
120,3,9,72579
120,3,10,83068
120,4,1,1045
120,4,2,1841
120,4,3,3822
120,4,4,4514
120,4,5,5831
120,4,6,7355
120,4,7,7863
120,4,8,9423
120,4,9,10339
120,4,10,11220
121,1,1,1317
121,1,2,3138
121,1,3,4210
121,1,4,6146
121,1,5,7405
121,1,6,8164
121,1,7,10108
121,1,8,11355
121,1,9,12459
121,1,10,14060
121,2,1,1212
121,2,2,2339
121,2,3,4091
121,2,4,4986
121,2,5,6487
121,2,6,7150
121,2,7,8588
121,2,8,9593
121,2,9,10574
121,2,10,12117
121,3,1,7320
121,3,2,12372
121,3,3,18697
121,3,4,25388
121,3,5,31715
121,3,6,43827
121,3,7,49150
121,3,8,56785
121,3,9,62280
121,3,10,67719
121,4,1,1657
121,4,2,2780
121,4,3,5128
121,4,4,6834
121,4,5,8513
121,4,6,8776
121,4,7,10159
121,4,8,11654
121,4,9,13360
121,4,10,15296
122,1,1,2793
122,1,2,5150
122,1,3,8694
122,1,4,10020
122,1,5,12358
122,1,6,16666
122,1,7,17746
122,1,8,20524
122,1,9,22916
122,1,10,26198
122,2,1,1570
122,2,2,3056
122,2,3,4776
122,2,4,7422
122,2,5,7798
122,2,6,9488
122,2,7,12226
122,2,8,14343
122,2,9,14768
122,2,10,17016
122,3,1,5204
122,3,2,11630
122,3,3,15625
122,3,4,18792
122,3,5,24288
122,3,6,30272
122,3,7,34312
122,3,8,37780
122,3,9,43028
122,3,10,49724
122,4,1,1237
122,4,2,2403
122,4,3,3672
122,4,4,4646
122,4,5,5849
122,4,6,8323
122,4,7,8505
122,4,8,10420
122,4,9,11455
122,4,10,12785
123,1,1,189
123,1,2,406
123,1,3,563
123,1,4,949
123,1,5,1013
123,1,6,1408
123,1,7,1514
123,1,8,1647
123,1,9,1994
123,1,10,2179
123,2,1,84
123,2,2,197
123,2,3,212
123,2,4,354
123,2,5,462
123,2,6,471
123,2,7,576
123,2,8,671
123,2,9,762
123,2,10,838
123,3,1,540
123,3,2,1112
123,3,3,1835
123,3,4,2732
123,3,5,2685
123,3,6,3521
123,3,7,3946
123,3,8,4899
123,3,9,5630
123,3,10,6078
123,4,1,62
123,4,2,138
123,4,3,206
123,4,4,248
123,4,5,373
123,4,6,414
123,4,7,438
123,4,8,545
123,4,9,606
123,4,10,672
124,1,1,454
124,1,2,760
124,1,3,1155
124,1,4,1602
124,1,5,2130
124,1,6,2414
124,1,7,2843
124,1,8,3343
124,1,9,3838
124,1,10,4259
124,2,1,402
124,2,2,751
124,2,3,1306
124,2,4,1425
124,2,5,1770
124,2,6,2187
124,2,7,2871
124,2,8,2981
124,2,9,3481
124,2,10,3928
124,3,1,1664
124,3,2,3195
124,3,3,5061
124,3,4,7006
124,3,5,9391
124,3,6,11326
124,3,7,11533
124,3,8,14674
124,3,9,15881
124,3,10,17547
124,4,1,210
124,4,2,412
124,4,3,705
124,4,4,870
124,4,5,1050
124,4,6,1219
124,4,7,1476
124,4,8,1607
124,4,9,1942
124,4,10,2118
125,1,1,387
125,1,2,1114
125,1,3,1211
125,1,4,2083
125,1,5,2416
125,1,6,2890
125,1,7,3501
125,1,8,3988
125,1,9,4399
125,1,10,4731
125,2,1,256
125,2,2,509
125,2,3,704
125,2,4,1116
125,2,5,1351
125,2,6,1504
125,2,7,1731
125,2,8,2111
125,2,9,2286
125,2,10,2516
125,3,1,4283
125,3,2,7081
125,3,3,12234
125,3,4,13597
125,3,5,18934
125,3,6,22147
125,3,7,26307
125,3,8,30271
125,3,9,34140
125,3,10,37066
125,4,1,267
125,4,2,608
125,4,3,676
125,4,4,1171
125,4,5,1241
125,4,6,1587
125,4,7,1904
125,4,8,2167
125,4,9,2375
125,4,10,2641
126,1,1,372
126,1,2,670
126,1,3,1036
126,1,4,1390
126,1,5,1856
126,1,6,2110
126,1,7,2402
126,1,8,2769
126,1,9,3147
126,1,10,3470
126,2,1,219
126,2,2,494
126,2,3,734
126,2,4,988
126,2,5,1167
126,2,6,1391
126,2,7,1629
126,2,8,1805
126,2,9,2080
126,2,10,2258
126,3,1,3188
126,3,2,6650
126,3,3,10880
126,3,4,13315
126,3,5,15252
126,3,6,20565
126,3,7,22320
126,3,8,26756
126,3,9,29589
126,3,10,31696
126,4,1,155
126,4,2,330
126,4,3,621
126,4,4,846
126,4,5,832
126,4,6,1052
126,4,7,1210
126,4,8,1590
126,4,9,1688
126,4,10,1878
127,1,1,1283
127,1,2,2540
127,1,3,3345
127,1,4,4257
127,1,5,5279
127,1,6,6684
127,1,7,7313
127,1,8,8820
127,1,9,10275
127,1,10,11141
127,2,1,503
127,2,2,926
127,2,3,1196
127,2,4,1641
127,2,5,2075
127,2,6,2328
127,2,7,3016
127,2,8,3501
127,2,9,3997
127,2,10,4272
127,3,1,8882
127,3,2,18645
127,3,3,28340
127,3,4,40720
127,3,5,49533
127,3,6,63699
127,3,7,67316
127,3,8,78087
127,3,9,87643
127,3,10,98651
127,4,1,392
127,4,2,732
127,4,3,948
127,4,4,1339
127,4,5,1883
127,4,6,2103
127,4,7,2421
127,4,8,2789
127,4,9,2951
127,4,10,3399
128,1,1,225
128,1,2,601
128,1,3,763
128,1,4,1061
128,1,5,1438
128,1,6,1549
128,1,7,1808
128,1,8,2175
128,1,9,2594
128,1,10,2784
128,2,1,246
128,2,2,481
128,2,3,518
128,2,4,827
128,2,5,907
128,2,6,1269
128,2,7,1350
128,2,8,1562
128,2,9,1865
128,2,10,2049
128,3,1,1752
128,3,2,3455
128,3,3,5220
128,3,4,5928
128,3,5,7849
128,3,6,8853
128,3,7,11782
128,3,8,12405
128,3,9,14915
128,3,10,16287
128,4,1,387
128,4,2,777
128,4,3,965
128,4,4,1492
128,4,5,1624
128,4,6,2090
128,4,7,2567
128,4,8,3026
128,4,9,3116
128,4,10,3601
129,1,1,302
129,1,2,538
129,1,3,993
129,1,4,1351
129,1,5,1470
129,1,6,1838
129,1,7,2113
129,1,8,2480
129,1,9,2759
129,1,10,3145
129,2,1,132
129,2,2,327
129,2,3,464
129,2,4,602
129,2,5,755
129,2,6,863
129,2,7,1031
129,2,8,1089
129,2,9,1311
129,2,10,1404
129,3,1,953
129,3,2,1989
129,3,3,2482
129,3,4,3900
129,3,5,4992
129,3,6,6067
129,3,7,7170
129,3,8,7323
129,3,9,8444
129,3,10,9621
129,4,1,70
129,4,2,124
129,4,3,193
129,4,4,282
129,4,5,364
129,4,6,367
129,4,7,474
129,4,8,513
129,4,9,618
129,4,10,666
130,1,1,33
130,1,2,79
130,1,3,102
130,1,4,159
130,1,5,197
130,1,6,227
130,1,7,251
130,1,8,278
130,1,9,329
130,1,10,364
130,2,1,21
130,2,2,41
130,2,3,63
130,2,4,74
130,2,5,95
130,2,6,104
130,2,7,129
130,2,8,164
130,2,9,176
130,2,10,193
130,3,1,151
130,3,2,315
130,3,3,406
130,3,4,504
130,3,5,767
130,3,6,917
130,3,7,931
130,3,8,1122
130,3,9,1307
130,3,10,1397
130,4,1,24
130,4,2,54
130,4,3,67
130,4,4,91
130,4,5,116
130,4,6,146
130,4,7,179
130,4,8,199
130,4,9,220
130,4,10,251
131,1,1,66
131,1,2,114
131,1,3,187
131,1,4,219
131,1,5,267
131,1,6,330
131,1,7,369
131,1,8,441
131,1,9,512
131,1,10,549
131,2,1,49
131,2,2,122
131,2,3,157
131,2,4,259
131,2,5,304
131,2,6,368
131,2,7,436
131,2,8,458
131,2,9,534
131,2,10,606
131,3,1,233
131,3,2,460
131,3,3,791
131,3,4,979
131,3,5,1325
131,3,6,1531
131,3,7,1730
131,3,8,2034
131,3,9,2133
131,3,10,2445
131,4,1,82
131,4,2,154
131,4,3,266
131,4,4,373
131,4,5,468
131,4,6,535
131,4,7,623
131,4,8,752
131,4,9,805
131,4,10,917
132,1,1,41
132,1,2,88
132,1,3,108
132,1,4,154
132,1,5,180
132,1,6,224
132,1,7,252
132,1,8,292
132,1,9,332
132,1,10,383
132,2,1,18
132,2,2,30
132,2,3,47
132,2,4,60
132,2,5,76
132,2,6,90
132,2,7,113
132,2,8,118
132,2,9,138
132,2,10,156
132,3,1,88
132,3,2,219
132,3,3,324
132,3,4,332
132,3,5,508
132,3,6,586
132,3,7,722
132,3,8,790
132,3,9,883
132,3,10,960
132,4,1,12
132,4,2,18
132,4,3,32
132,4,4,43
132,4,5,46
132,4,6,63
132,4,7,75
132,4,8,86
132,4,9,90
132,4,10,102
133,1,1,53
133,1,2,115
133,1,3,188
133,1,4,213
133,1,5,298
133,1,6,392
133,1,7,422
133,1,8,470
133,1,9,563
133,1,10,609
133,2,1,52
133,2,2,91
133,2,3,162
133,2,4,209
133,2,5,224
133,2,6,289
133,2,7,372
133,2,8,395
133,2,9,430
133,2,10,495
133,3,1,175
133,3,2,369
133,3,3,483
133,3,4,646
133,3,5,870
133,3,6,1071
133,3,7,1259
133,3,8,1423
133,3,9,1535
133,3,10,1768
133,4,1,39
133,4,2,77
133,4,3,125
133,4,4,150
133,4,5,181
133,4,6,245
133,4,7,294
133,4,8,312
133,4,9,371
133,4,10,411
134,1,1,1184
134,1,2,2171
134,1,3,3179
134,1,4,4998
134,1,5,5130
134,1,6,6743
134,1,7,8348
134,1,8,8703
134,1,9,10313
134,1,10,11301
134,2,1,605
134,2,2,1562
134,2,3,2121
134,2,4,2655
134,2,5,3344
134,2,6,4167
134,2,7,5036
134,2,8,5680
134,2,9,6849
134,2,10,7505
134,3,1,4365
134,3,2,7341
134,3,3,12869
134,3,4,18315
134,3,5,18967
134,3,6,22651
134,3,7,27653
134,3,8,33208
134,3,9,38679
134,3,10,41715
134,4,1,895
134,4,2,1744
134,4,3,2468
134,4,4,3683
134,4,5,5165
134,4,6,5777
134,4,7,7031
134,4,8,7503
134,4,9,8751
134,4,10,9392
135,1,1,247
135,1,2,473
135,1,3,683
135,1,4,1112
135,1,5,1273
135,1,6,1442
135,1,7,1736
135,1,8,2105
135,1,9,2312
135,1,10,2576
135,2,1,359
135,2,2,662
135,2,3,963
135,2,4,1222
135,2,5,1755
135,2,6,1832
135,2,7,2270
135,2,8,2651
135,2,9,2911
135,2,10,3136
135,3,1,847
135,3,2,1845
135,3,3,2636
135,3,4,3647
135,3,5,4171
135,3,6,5683
135,3,7,6892
135,3,8,7418
135,3,9,8090
135,3,10,9125
135,4,1,208
135,4,2,491
135,4,3,782
135,4,4,1046
135,4,5,1183
135,4,6,1405
135,4,7,1770
135,4,8,1903
135,4,9,2136
135,4,10,2346
136,1,1,1129
136,1,2,2482
136,1,3,3416
136,1,4,4646
136,1,5,6392
136,1,6,7192
136,1,7,9245
136,1,8,10282
136,1,9,10865
136,1,10,12278
136,2,1,1007
136,2,2,2102
136,2,3,3152
136,2,4,4335
136,2,5,5054
136,2,6,5624
136,2,7,6972
136,2,8,8171
136,2,9,8607
136,2,10,9892
136,3,1,3251
136,3,2,6344
136,3,3,9961
136,3,4,14263
136,3,5,16518
136,3,6,19717
136,3,7,26519
136,3,8,29437
136,3,9,30560
136,3,10,35146
136,4,1,603
136,4,2,1207
136,4,3,1848
136,4,4,2374
136,4,5,2748
136,4,6,3483
136,4,7,3676
136,4,8,4216
136,4,9,4766
136,4,10,5370
137,1,1,2665
137,1,2,4431
137,1,3,8428
137,1,4,8827
137,1,5,13393
137,1,6,13427
137,1,7,17569
137,1,8,19987
137,1,9,22060
137,1,10,24374
137,2,1,508
137,2,2,1064
137,2,3,2114
137,2,4,2548
137,2,5,2821
137,2,6,3943
137,2,7,4200
137,2,8,5102
137,2,9,5764
137,2,10,6252
137,3,1,18781
137,3,2,33192
137,3,3,58163
137,3,4,81211
137,3,5,97501
137,3,6,105608
137,3,7,141016
137,3,8,163208
137,3,9,176557
137,3,10,193086
137,4,1,902
137,4,2,2110
137,4,3,3151
137,4,4,3796
137,4,5,4561
137,4,6,5339
137,4,7,6211
137,4,8,7015
137,4,9,8076
137,4,10,9145
138,1,1,593
138,1,2,1431
138,1,3,2487
138,1,4,2735
138,1,5,3970
138,1,6,3962
138,1,7,4886
138,1,8,5942
138,1,9,6275
138,1,10,7167
138,2,1,1383
138,2,2,2745
138,2,3,4315
138,2,4,4796
138,2,5,5924
138,2,6,7985
138,2,7,8690
138,2,8,10346
138,2,9,11203
138,2,10,12814
138,3,1,6684
138,3,2,12068
138,3,3,17235
138,3,4,21863
138,3,5,25492
138,3,6,36749
138,3,7,41384
138,3,8,44917
138,3,9,49985
138,3,10,55946
138,4,1,1365
138,4,2,2657
138,4,3,4679
138,4,4,5871
138,4,5,6772
138,4,6,9052
138,4,7,10276
138,4,8,11466
138,4,9,12816
138,4,10,14430
139,1,1,1824
139,1,2,3908
139,1,3,5282
139,1,4,7475
139,1,5,11040
139,1,6,13365
139,1,7,15111
139,1,8,16631
139,1,9,18351
139,1,10,20460
139,2,1,903
139,2,2,2147
139,2,3,2942
139,2,4,4268
139,2,5,4774
139,2,6,5798
139,2,7,6554
139,2,8,7847
139,2,9,9090
139,2,10,10022
139,3,1,13929
139,3,2,25034
139,3,3,37439
139,3,4,54833
139,3,5,64322
139,3,6,86703
139,3,7,103590
139,3,8,114091
139,3,9,126813
139,3,10,138673
139,4,1,1040
139,4,2,1689
139,4,3,2573
139,4,4,3994
139,4,5,4624
139,4,6,5218
139,4,7,6284
139,4,8,7681
139,4,9,8326
139,4,10,9102
140,1,1,1138
140,1,2,1926
140,1,3,3453
140,1,4,5068
140,1,5,5610
140,1,6,6631
140,1,7,7888
140,1,8,8894
140,1,9,9659
140,1,10,11130
140,2,1,1871
140,2,2,4429
140,2,3,6561
140,2,4,7608
140,2,5,9191
140,2,6,10609
140,2,7,13946
140,2,8,15539
140,2,9,17596
140,2,10,19423
140,3,1,3016
140,3,2,7814
140,3,3,11910
140,3,4,12942
140,3,5,17926
140,3,6,21931
140,3,7,25912
140,3,8,29027
140,3,9,32857
140,3,10,35142
140,4,1,2262
140,4,2,3270
140,4,3,5037
140,4,4,8380
140,4,5,9087
140,4,6,11102
140,4,7,14162
140,4,8,15130
140,4,9,17898
140,4,10,19497
141,1,1,4675
141,1,2,8554
141,1,3,12709
141,1,4,15294
141,1,5,21334
141,1,6,23196
141,1,7,26066
141,1,8,33756
141,1,9,34851
141,1,10,39934
141,2,1,1822
141,2,2,3054
141,2,3,5094
141,2,4,5842
141,2,5,7398
141,2,6,10295
141,2,7,10830
141,2,8,12701
141,2,9,14871
141,2,10,16474
141,3,1,21177
141,3,2,45106
141,3,3,67133
141,3,4,102881
141,3,5,119249
141,3,6,161667
141,3,7,191260
141,3,8,220303
141,3,9,229937
141,3,10,261182
141,4,1,2178
141,4,2,4337
141,4,3,4992
141,4,4,8120
141,4,5,9450
141,4,6,11011
141,4,7,13668
141,4,8,14591
141,4,9,16403
141,4,10,18456
142,1,1,3587
142,1,2,7377
142,1,3,10648
142,1,4,17028
142,1,5,19474
142,1,6,24836
142,1,7,27926
142,1,8,31568
142,1,9,36084
142,1,10,38656
142,2,1,1374
142,2,2,2865
142,2,3,4012
142,2,4,5488
142,2,5,7531
142,2,6,9855
142,2,7,11534
142,2,8,12716
142,2,9,14471
142,2,10,15788
142,3,1,37221
142,3,2,70218
142,3,3,114202
142,3,4,148673
142,3,5,171484
142,3,6,195577
142,3,7,216812
142,3,8,267248
142,3,9,289596
142,3,10,331618
142,4,1,1493
142,4,2,2824
142,4,3,4475
142,4,4,5147
142,4,5,6666
142,4,6,7528
142,4,7,8839
142,4,8,10517
142,4,9,11814
142,4,10,13331
143,1,1,2444
143,1,2,4455
143,1,3,7405
143,1,4,8372
143,1,5,9645
143,1,6,11619
143,1,7,15084
143,1,8,17028
143,1,9,19046
143,1,10,21339
143,2,1,905
143,2,2,1980
143,2,3,2750
143,2,4,3182
143,2,5,4605
143,2,6,5747
143,2,7,5863
143,2,8,7157
143,2,9,8138
143,2,10,8719
143,3,1,10027
143,3,2,27766
143,3,3,33219
143,3,4,48087
143,3,5,61624
143,3,6,65095
143,3,7,90035
143,3,8,100551
143,3,9,109204
143,3,10,120048
143,4,1,1397
143,4,2,2222
143,4,3,3882
143,4,4,5286
143,4,5,6748
143,4,6,7690
143,4,7,9118
143,4,8,9919
143,4,9,11553
143,4,10,12899
144,1,1,4531
144,1,2,10565
144,1,3,14264
144,1,4,21341
144,1,5,27738
144,1,6,30371
144,1,7,39327
144,1,8,42371
144,1,9,50588
144,1,10,54490
144,2,1,3172
144,2,2,4674
144,2,3,7804
144,2,4,10315
144,2,5,13638
144,2,6,17637
144,2,7,18447
144,2,8,20596
144,2,9,23807
144,2,10,27212
144,3,1,50555
144,3,2,104486
144,3,3,170343
144,3,4,219753
144,3,5,287265
144,3,6,318740
144,3,7,401019
144,3,8,425778
144,3,9,510635
144,3,10,548689
144,4,1,2858
144,4,2,4903
144,4,3,7996
144,4,4,10264
144,4,5,12938
144,4,6,16639
144,4,7,19658
144,4,8,23755
144,4,9,25929
144,4,10,28846
145,1,1,3894
145,1,2,7989
145,1,3,10917
145,1,4,15944
145,1,5,20951
145,1,6,26367
145,1,7,30013
145,1,8,34870
145,1,9,37889
145,1,10,41179
145,2,1,1505
145,2,2,3351
145,2,3,5075
145,2,4,7606
145,2,5,8089
145,2,6,11324
145,2,7,12570
145,2,8,13782
145,2,9,16250
145,2,10,17495
145,3,1,20969
145,3,2,29377
145,3,3,50628
145,3,4,72406
145,3,5,82854
145,3,6,111270
145,3,7,126899
145,3,8,138361
145,3,9,156975
145,3,10,177414
145,4,1,3119
145,4,2,5426
145,4,3,9066
145,4,4,10064
145,4,5,12646
145,4,6,18370
145,4,7,20570
145,4,8,21526
145,4,9,24944
145,4,10,27901
146,1,1,774
146,1,2,1400
146,1,3,2809
146,1,4,3821
146,1,5,4307
146,1,6,4991
146,1,7,5527
146,1,8,6631
146,1,9,7715
146,1,10,8472
146,2,1,762
146,2,2,1617
146,2,3,2513
146,2,4,3976
146,2,5,4250
146,2,6,5588
146,2,7,6149
146,2,8,7293
146,2,9,8679
146,2,10,9279
146,3,1,5114
146,3,2,8622
146,3,3,13705
146,3,4,18878
146,3,5,24115
146,3,6,24082
146,3,7,31745
146,3,8,36855
146,3,9,39401
146,3,10,44125
146,4,1,825
146,4,2,1682
146,4,3,2802
146,4,4,3940
146,4,5,4958
146,4,6,5094
146,4,7,6088
146,4,8,7418
146,4,9,8745
146,4,10,9348
147,1,1,655
147,1,2,1676
147,1,3,2459
147,1,4,3442
147,1,5,3790
147,1,6,4667
147,1,7,4880
147,1,8,6360
147,1,9,6853
147,1,10,7558
147,2,1,900
147,2,2,1903
147,2,3,2315
147,2,4,2999
147,2,5,4056
147,2,6,5086
147,2,7,5284
147,2,8,6675
147,2,9,7050
147,2,10,8076
147,3,1,3762
147,3,2,5563
147,3,3,8370
147,3,4,14093
147,3,5,17584
147,3,6,18183
147,3,7,21245
147,3,8,23988
147,3,9,28841
147,3,10,31833
147,4,1,1307
147,4,2,2076
147,4,3,2996
147,4,4,4049
147,4,5,5235
147,4,6,6524
147,4,7,8040
147,4,8,9386
147,4,9,10148
147,4,10,11105
148,1,1,1898
148,1,2,3685
148,1,3,6487
148,1,4,8555
148,1,5,9480
